ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wp_page_template,Meta: _key_features,Meta: _key_features_list,Meta: key_features_list,Meta: _technical_specification,Meta: technical_specification,Meta: _safety_information,Meta: safety_information,Meta: _downloads__faqs,Meta: _downloads_repeater,Meta: downloads_repeater,Meta: _faqs_repeater,Meta: faqs_repeater,Meta: _yoast_wpseo_focuskw_text_input,Meta: top_hire,Meta: _top_hire,Meta: inline_featured_image,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _yoast_wpseo_content_score,Meta: downloads_repeater_0_title,Meta: _downloads_repeater_0_title,Meta: downloads_repeater_0_download,Meta: _downloads_repeater_0_download,Meta: __is_newly_created_product,Meta: __first_variation_id,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Meta: _yoast_wpseo_primary_yith_booking_service,Meta: _yoast_wpseo_wordproof_timestamp,Meta: _yoast_wpseo_title,Meta: _yoast_wpseo_metadesc,Meta: _yoast_wpseo_primary_product_brand,Meta: _yoast_wpseo_focuskw,Meta: _yoast_wpseo_linkdex,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Meta: _oembed_b3c065c607accdc616475f468f40c0e0,Meta: _oembed_fd72c0b57beb29d16d14ba03fd570b66,Meta: _wp_old_date,Meta: _oembed_90fdd625a029229db2fd652269f0b79d,Meta: _oembed_time_90fdd625a029229db2fd652269f0b79d,Attribute 2 default,Meta: _oembed_129d6c7f261d82d1eb07d003b840b4ea,Meta: _oembed_f36908ec9bc10b76f853e965dba62137,Meta: _oembed_73d89df8b01289db4687fe406be4c5d0,Meta: _yoast_wpseo_canonical,Attribute 1 default,Meta: _oembed_e183a301c5b257a330206eaa41dda938,Meta: _oembed_time_e183a301c5b257a330206eaa41dda938
10559,variation,01/130,,Aluminium Extension Ladders (2 Section) - 5.0-9.0m,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42,,,,,,,01/080-130,,,"B0101005, SAE01 0406010, SAE01 0406005, SAE01 0704003",,,0,,Choose an option,5.0-9.0m,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10560,variation,01/120,,Aluminium Extension Ladders (2 Section) - 4.5-8.0m,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,39.25,,,,,,,01/080-130,,,"B0101005, SAE01 0406010, SAE01 0406005, SAE01 0704003",,,0,,Choose an option,4.5-8.0m,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10561,variation,01/110,,Aluminium Extension Ladders (2 Section) - 4.0-7.0m,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,34.85,,,,,,,01/080-130,,,"B0101005, SAE01 0406010, SAE01 0406005, SAE01 0704003",,,0,,Choose an option,4.0-7.0m,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10562,variation,01/100,,Aluminium Extension Ladders (2 Section) - 3.5-6.0m,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,32.4,,,,,,,01/080-130,,,"B0101005, SAE01 0406010, SAE01 0406005, SAE01 0704003",,,0,,Choose an option,3.5-6.0m,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10563,variation,01/090,,Aluminium Extension Ladders (2 Section) - 3.0-5.0m,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,29.85,,,,,,,01/080-130,,,"B0101005, SAE01 0406010, SAE01 0406005, SAE01 0704003",,,0,,Choose an option,3.0-5.0m,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10564,variation,01/080,,Aluminium Extension Ladders (2 Section) - 2.5-4.0m,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,29.3,,,,,,,01/080-130,,,"B0101005, SAE01 0406010, SAE01 0406005, SAE01 0704003",,,0,,Choose an option,2.5-4.0m,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10566,variation,01/190,,Non-conductive GRP Steps - 10 Tread,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.55,,,,,,,01/160-190,,,"B1802085, B1903025",,,0,,Choose an option,10 Tread,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10567,variation,01/180,,Non-conductive GRP Steps - 8 Tread,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,30.4,,,,,,,01/160-190,,,"B1802085, B1903025",,,0,,Choose an option,8 Tread,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10568,variation,01/170,,Non-conductive GRP Steps - 6 Tread,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,28.95,,,,,,,01/160-190,,,"B1802085, B1903025",,,0,,Choose an option,6 Tread,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10569,variation,01/160,,Non-conductive GRP Steps - 5 Tread,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,25.35,,,,,,,01/160-190,,,"B1802085, B1903025",,,0,,Choose an option,5 Tread,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
